"selection1_name","selection1_url","selection1_dt_lancamento","selection1_preco","selection1_preco_url","selection1_autor","selection1_capa_pqna","selection1_sinopse","selection1_qtd_avaliacoes","selection1_qtd_avaliacoes_url","selection1_nota","selection1_capa","selection1_editora"
"A vida invisível de Addie LaRue","https://www.amazon.com.br/vida-invis%C3%ADvel-Addie-LaRue/dp/6555872551/ref=sr_1_1?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-1","30 ago 2021","R$43,09","https://www.amazon.com.br/vida-invis%C3%ADvel-Addie-LaRue/dp/6555872551/ref=sr_1_1?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-1","V.E. Schwab","https://images-na.ssl-images-amazon.com/images/I/41kJVFM0AfL._AC_SX60_CR,0,0,60,60_.jpg","Uma vida que ninguém lembra. Um livro que ninguém esquece.Em A vida invisível de Addie LaRue, o aguardado best-seller de V.E. Schwab, conheça Addie e se perca em sua vida invisível ― porém memorável. França: 1714. Addie LaRue não queria pertercer a ninguém ou a lugar nenhum. Em um momento de desespero, a jovem faz um pacto: a vida eterna, sob a condição de ser esquecida por quem a conhecer. Um piscar de olhos, e, como um sopro, Addie se vai. Uma virada de costas, e sua existência se dissipa na memória de todos.Após tanto tempo vivendo uma existência deslumbrante, aproveitando a vida de todas as formas, fazendo uso de tantos artifícios quanto fosse possível e viajando pelo tempo e espaço, através dos séculos e continentes, da história e da arte, Addie entende seus limites e descobre ― apesar de fadada ao esquecimento ― até onde é capaz de ir para deixar sua marca no mundo.Trezentos anos depois, em uma livraria, um acontecimento inesperado: Addie LaRue esbarra com um rapaz.Ele enuncia cinco palavras.Cinco palavras capazes de colocar a vida que conhecia abaixo:Eu me lembro de você. Uma jornada inspirada no mito faustiano sobre busca e perda, eternidade e finitude e, acima de tudo, uma questão: até onde se vai para alcançar a liberdade? Best-seller do The New York Times e recomendado pelo Entertainment Weekly, A vida invisível de Addie LaRue é um livro inesquecível e que colocou V.E. Schwab entre as principais autoras de fantasia da atualidade. “Para alguém fadada ao esquecimento, AddieLaRue se provou uma personagem deliciosamente inesquecível, e sua história é uma celebração da imortalidade.” - Neil Gaiman“Perfeitamente equilibrada entre escuridão e luz, mito e realidade. Essa história é, ironicamente, inesquecível.” - Alix E. Harrow“A vida invisível de Addie LaRue irá enfeitiçar os leitores da mesma forma que a protagonista é enfeitiçada.” - Naomi Novak","154 avaliações de clientes","https://www.amazon.com.br/vida-invis%C3%ADvel-Addie-LaRue/dp/6555872551/ref=sr_1_1?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-1#customerReviews","4,4 de 5 estrelas","https://images-na.ssl-images-amazon.com/images/I/71X245OYRBL.jpg","30 agosto 2021"
"Até o verão terminar","https://www.amazon.com.br/At%C3%A9-ver%C3%A3o-terminar-Colleen-Hoover/dp/6559810372/ref=sr_1_2?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-2","30 ago 2021","R$37,42","https://www.amazon.com.br/At%C3%A9-ver%C3%A3o-terminar-Colleen-Hoover/dp/6559810372/ref=sr_1_2?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-2","","https://images-na.ssl-images-amazon.com/images/I/51ccTKC7y1L._AC_SX60_CR,0,0,60,60_.jpg","Uma vida de dor e abandono fizeram de Beyah uma pessoa cética, desconfiada e boa em guardar segredos. Mas, até o verão terminar, ela terá que rever tudo o que acredita. Da mesma autora dos sucessos É assim que acaba, Layla e Verity. Filha de uma mãe problemática e um pai ausente, Beyah precisou aprender a se virar sozinha desde pequena. Sua vida foi trilhada com muitas decepeções. Mas ela está prestes a mudar a sua sorte graças a si mesma, e a mais ninguém, por conta da bolsa de estudos que ganhou para estudar em uma boa universidade. Apenas dois curtos meses separam o tão sonhado futuro do passado que tanto deseja deixar para trás. Mas uma reviravolta faz Beyah perder até mesmo a casa em que mora.Sem opção, ela recorre ao último recurso que tem e precisará passar o resto do verão na casa de praia do pai que mal conhece, da nova esposa e da filha dela que nem ao menos ouvira falar. O plano de Beyah é se manter quase invisível até poder ir para a faculdade. Mas o vizinho da casa ao lado torna tudo muito mais complicado. Afinal, é difícil ignorar o rico, bonito e misterioso Samson.Os dois parecem não ter nada em comum. Ela viveu uma vida sem dinheiro ou amor enquanto ele tem uma família rica e privilegiada. Mas no olhar dele vive uma tristeza que apenas quem também a carrega dentro de si consegue reconhecer. E isso os torna irresístiveis um para o outro. Sem terem como fugir da atração que sentem, Beyah e Samson resolvem se dar uma chance, mas apenas até o verão terminar.Uma história de amor, recomeços, despedidas e reencontros.“Desde 2015, Hoover conquista os corações dos leitores de romance de todo o mundo com suas histórias contemporâneas sobre os altos e baixos do amor verdadeiro.” ― Goodreads","102 avaliações de clientes","https://www.amazon.com.br/At%C3%A9-ver%C3%A3o-terminar-Colleen-Hoover/dp/6559810372/ref=sr_1_2?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-2#customerReviews","4,7 de 5 estrelas","https://images-na.ssl-images-amazon.com/images/I/81u8c5lziEL.jpg","30 agosto 2021"
"Kit Um de nós (acompanha marcadores)","https://www.amazon.com.br/Kit-Um-n%C3%B3s-acompanha-marcadores/dp/850130476X/ref=sr_1_3?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-3","6 set 2021","R$48,50","https://www.amazon.com.br/Kit-Um-n%C3%B3s-acompanha-marcadores/dp/850130476X/ref=sr_1_3?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-3","","https://images-na.ssl-images-amazon.com/images/I/512zS+7eoGS._AC_SY60_CR,0,0,60,60_.jpg","Pela primeira vez reunidos em um kit, Um de nós está mentindo e Um de nós é o próximo são os dois thrillers best-sellers de Karen M. McManus. Acompanha dois marcadores de páginas dos livros. Uma coisa é certa: ninguém pode reclamar que a vida no Colégio Bayview é monótona. Neste kit com os dois thrillers que supreenderam jovens e adultos, acompanhe todos os lados da história e reúna as pistas para desvendar os mistérios que se escondem por trás de romances e intrigas. Um de nós está mentindo (384 pág.)Numa tarde de segunda-feira, cinco estudantes do colégio Bayview entram na sala de detenção: Bronwyn, a gênia que nunca quebra as regras. Addy, a bela, a perfeita definição da princesa do baile de primavera. Nate, o criminoso em liberdade condicional por tráfico de drogas. Cooper, o astro do time de beisebol. E Simon, o pária, criador do mais famoso aplicativo de fofocas da escola.Só que Simon não consegue ir embora. Antes do fim da detenção, ele está morto. E, de acordo com os investigadores, a sua morte não foi acidental.Na segunda-feira, ele morreu. Mas na terça, planejava postar fofocas bem quentes sobre os companheiros de detenção. O que faz os quatro serem suspeitos do seu assassinato.Romances, panelinhas, problemas da adolescência e um assassinato! Navegando entre uma vida escolar descontraída e uma paisagem sombria em torno da morte de Simon, Um de nós está mentindo deixa os leitores, ao final de cada capítulo, em choque e com um desejo irresistível de continuar lendo.Com um desfecho surpreendente, o livro explora quatro pontos de vista diferentes, dando ao leitor pistas para desvendar o mistério. Seriam os quatro adolescentes cúmplices de um crime ou vítimas perfeitas de um assassino que continua à solta? Desvende todos os mistérios e descubra quem é o assassino do colégio Bayview. Um de nós é o próximo (400 pág.)Vários aplicativos de fofoca surgiram depois que Simon morreu. Mas, nada foi capaz de preencher o vazio de fofocas como ele conseguia. O problema é: ninguém mais tem os fatos.Até agora.Desta vez, não é um aplicativo: é um jogo.E quando o jogo de Verdade ou Consequência se torna mortal, qual lado você escolhe? Escolha consequência e receba um desafio para cumprir em vinte e quatro horas. Escolha verdade e... Bem, é melhor você ficar com a consequência.Phoebe Lawton é o primeiro alvo. Caso escolha não jogar, uma verdade sobre a sua vida será revelada... E a dela é infame. Então, é a vez de Maeve Rojas, e parece que ela não aprendeu nada com os erros da primeira jogadora. Quando chega a vez de Knox, as coisas se tornam perigosas. Agora, os desafios se tornaram arriscados demais, e se tem algo que Maeve aprendeu com a irmã no ano passado é que eles não podem contar com a polícia.No entanto, eles precisam descobrir – e logo – quem está por trás do jogo, antes que seja tarde demais.","25 avaliações de clientes","https://www.amazon.com.br/Kit-Um-n%C3%B3s-acompanha-marcadores/dp/850130476X/ref=sr_1_3?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-3#customerReviews","4,9 de 5 estrelas","https://images-na.ssl-images-amazon.com/images/I/811+cSVUW-S.jpg","30 agosto 2021"
"AS 48 LEIS DO PODER (CAPA DURA)","https://www.amazon.com.br/AS-LEIS-PODER-CAPA-DURA/dp/6555320516/ref=sr_1_4?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-4&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9","15 set 2021","R$75,90","https://www.amazon.com.br/AS-LEIS-PODER-CAPA-DURA/dp/6555320516/ref=sr_1_4?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-4&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9","","https://images-na.ssl-images-amazon.com/images/I/41UOGU7IYuL._AC_SY60_CR,0,0,60,60_.jpg","Edição definitiva em capa dura, com fitilho, do clássico sobre poder e liderança. “O homem que tenta ser bom o tempo todo está fadado à ruína entre os inúmeros outros que não são bons” - Nicolau Maquiavel Todos querem ter poder. Mas poucos sabem o que fazer para alcançá-lo. Como conseguir aquela promoção tão esperada? O que fazer para conquistar a admiração dos colegas e neutralizar quem vive tentando derrubá-lo? Como ser o queridinho do chefe? Em As 48 leis do poder, o leitor aprende a manipular pessoas e situações para alcançar seus objetivos. E descobre por que alguns conseguem ser tão bem-sucedidos, enquanto outros estão sempre sendo passados para trás. Querer ser melhor do que o chefe, por exemplo, é um erro fatal. “Faça com que as pessoas acima de você se sintam confortavelmente superiores(…) Faça com que seus mestres pareçam mais brilhantes do que são na realidade e você alcançará o ápice do poder”, diz Robert Greene no capítulo “Não ofusque o brilho do mestre”. “Não se comprometa com ninguém”, “Banque o amigo, aja como espião” e “Aniquile totalmente o inimigo” são algumas das demais leis analisadas pelo autor. Além de oferecer o “caminho das pedras”, ele cita casos de sucesso e de fracasso revelados à luz de suas regras. Para ilustrar o que diz, Greene recorre a fábulas e a episódios reais da História, e usa e abusa de citações. O leitor se embrenha pela cartilha através de estrategistas como Clausewitz e Sun-Tsu, estadistas como Bismarck, sedutores como Casanova, filósofos como Nietzsche, escritores como Balzac e, claro, diplomatas como Maquiavel. Os textos abarcam um período de mais de três mil anos e foram pinçados em civilizações tão diferentes quanto a antiga China e a Itália renascentista. O resultado, segundo seu próprio autor, é uma espécie de “manual das artes da dissimulação”. Porque a habilidade de dominar as emoções, diz Greene, é o fundamento básico do poder. Controle seus sentimentos e você terá o outro nas mãos. “O poder é um jogo social. Para aprender a dominá-lo, você deve desenvolver a capacidade de estudar e compreender as pessoas”, ensina o autor. E, para quem acredita que participar de jogos de poder é uma atividade condenável, ele faz um alerta: Não adianta querer ficar de fora. O mundo é como um imenso e dissimulado cassino e todos nós fazemos parte dele. Quanto mais rápido você descobrir as regras do jogo, maiores serão as suas chances de sucesso. “Quanto melhor você lidar com o poder, melhor você será como pessoa. (…) Se o jogo do poder é inevitável, vale mais ser um artista do que negar ou agir desastradamente”, diz Greene.","1.376 avaliações de clientes","https://www.amazon.com.br/AS-LEIS-PODER-CAPA-DURA/dp/6555320516/ref=sr_1_4?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-4&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9#customerReviews","4,8 de 5 estrelas","https://images-na.ssl-images-amazon.com/images/I/617iS--XOQL.jpg","15 setembro 2021"
"Heartstopper: Dois garotos, um encontro (vol. 1)","https://www.amazon.com.br/Heartstopper-Dois-garotos-encontro-vol/dp/8555341612/ref=sr_1_5?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-5","14 set 2021","R$47,92","https://www.amazon.com.br/Heartstopper-Dois-garotos-encontro-vol/dp/8555341612/ref=sr_1_5?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-5","Alice Oseman","https://images-na.ssl-images-amazon.com/images/I/51wx3A+5s6L._AC_SX60_CR,0,0,60,60_.jpg","O primeiro volume da adorada série em quadrinhos finalmente chega ao Brasil.
Charlie Spring e Nick Nelson não têm quase nada em comum. Charlie é um aluno dedicado e bastante inseguro por conta do bullying que sofre no colégio desde que se assumiu gay. Já Nick é superpopular, especialmente querido por ser um ótimo jogador de rúgbi. Quando os dois passam a sentar um ao lado do outro toda manhã, uma amizade intensa se desenvolve, e eles ficam cada vez mais próximos.
Charlie logo começa a se sentir diferente a respeito do novo amigo, apesar de saber que se apaixonar por um garoto hétero só vai gerar frustrações. Mas o próprio Nick está em dúvida sobre o que sente ― e talvez os garotos estejam prestes a descobrir que, quando menos se espera, o amor pode funcionar das formas mais incríveis e surpreendentes.
Essa edição contém:
Capa dura
Ilustrações em duas cores
Fichas sobre cada personagem
Uma prévia do próximo volume
Em breve Heartstopper vai se tornar uma série da Netflix!","16 avaliações de clientes","https://www.amazon.com.br/Heartstopper-Dois-garotos-encontro-vol/dp/8555341612/ref=sr_1_5?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-5#customerReviews","4,7 de 5 estrelas","https://images-na.ssl-images-amazon.com/images/I/8129HX+5JGL.jpg","15.5 x 1.7 x 22.5 cm"
"Amor & Azeitonas","https://www.amazon.com.br/Amor-Azeitonas-Jenna-Evans-Welch/dp/6555603070/ref=sr_1_6?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-6","13 set 2021","R$35,90","https://www.amazon.com.br/Amor-Azeitonas-Jenna-Evans-Welch/dp/6555603070/ref=sr_1_6?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-6","Jenna Evans Welch","https://images-na.ssl-images-amazon.com/images/I/41UplgIMmkL._AC_SY60_CR,0,0,60,60_.jpg","Da autora do best-seller Amor & gelato, uma viagem inesquecível pela ilha de Santorini
O que a lenda de uma cidade submersa tem a ver com a vida de uma adolescente? No caso da greco-americana Liv Varanakis, a resposta é tudo. Quando era pequena, Liv e seu pai passavam horas tentando descobrir a localização de Atlântida, mas, desde que ele foi embora sem explicação, ela evita pensar na cidade perdida a todo custo. Com dezessete anos, Liv tem uma nova vida, um novo namorado e está muito bem, obrigada.
Até que um cartão-postal amassado chega de Santorini e faz seus planos irem por água abaixo. Nele, seu pai explica que está gravando um documentário a respeito de Atlântida e que mandou uma passagem de avião para Liv ir até a Grécia ajudá-lo. Agora, ela terá que deixar para trás tudo que construiu e embarcar rumo ao desconhecido.
O reencontro dos dois traz à tona milhares de perguntas e emoções, e, para piorar, Theo, o assistente charmoso de seu pai, insiste em filmar esses momentos constrangedores. Pelo menos Liv pode aproveitar a ilha paradisíaca, com seu pôr do sol magnífico, a água turquesa, as casinhas brancas e a culinária deliciosa. Porém, com o passar dos dias, a garota começa a desconfiar de que não foi Atlântida que a trouxe até ali, e sim algo muito mais importante.
Com mais de 105 mil exemplares vendidos no Brasil, as histórias de Jenna Evans Welch trazem protagonistas que desbravam o mundo em uma verdadeira jornada de amadurecimento, com direito a segredos de família e romances inesquecíveis. Após conquistar corações com Amor & gelato, que se passa na Itália, e Amor & sorte, que explora a Irlanda, é a vez de nos apaixonarmos por uma ilha grega repleta de mistérios em Amor & azeitonas.","20 avaliações de clientes","https://www.amazon.com.br/Amor-Azeitonas-Jenna-Evans-Welch/dp/6555603070/ref=sr_1_6?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-6#customerReviews","4,9 de 5 estrelas","https://images-na.ssl-images-amazon.com/images/I/510BMb5OmsL.jpg","13 setembro 2021"
"Procure nas cinzas","https://www.amazon.com.br/Procure-nas-cinzas-Charlie-Donlea/dp/6559570282/ref=sr_1_7?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-7","10 set 2021","R$39,90","https://www.amazon.com.br/Procure-nas-cinzas-Charlie-Donlea/dp/6559570282/ref=sr_1_7?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-7","Charlie Donlea","https://images-na.ssl-images-amazon.com/images/I/512fUk9jPpL._AC_SY60_CR,0,0,60,60_.jpg","O ataque terrorista às Torres Gêmeas do World Trade Center chocou o mundo vinte anos atrás, mas, para uma família, esse atentado teve um gosto mais amargo. A destruição dos edifícios deu fim à vida de Victória, a principal suspeita de um crime brutal ― sem que ela tivesse a chance de se defender. E sua irmã, Emma, ainda tinha um assunto pendente: naquele momento extremo, pouco antes de o prédio desabar, Victoria conseguiu realizar uma última ligação pedindo que Emma a ajudasse a provar sua inocência. O caso fica abandonado por duas décadas, até que a evolução das técnicas forenses possibilitou a identificação do DNA de uma das vítimas dos ataques ― justamente da mulher que foi considerada culpada pelo assassinato de um conhecido escritor. Avery Manson, uma famosa apresentadora de TV, vê no caso uma oportunidade de alavancar ainda mais a sua carreira. Seu faro jornalístico a leva até Emma, e ela decide fazer o que for preciso para reabrir o caso, expor as falhas da polícia e descobrir se Victoria era ou não inocente. Avery não imaginava que seria preciso remontar um complexo quebra-cabeça para se chegar à verdade. E ela própria guarda também muitos segredos que, na busca insaciável por conseguir uma ótima história, podem ser expostos e destruir todo o sucesso que conquistou. Para quem ama os clássicos de Agatha Christie ou adora suspenses e personagens misteriosos e envolventes. Procure nas cinzas, lançamento da Faro Editorial, cria um emaranhado de tramas e personagens interessantes, capazes de tudo, e que irão fisgar os leitores até as últimas páginas.","25 avaliações de clientes","https://www.amazon.com.br/Procure-nas-cinzas-Charlie-Donlea/dp/6559570282/ref=sr_1_7?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-7#customerReviews","4,7 de 5 estrelas","https://images-na.ssl-images-amazon.com/images/I/61aAdbK-3HL.jpg","10 setembro 2021"
"Indomada (Vol. 6 Perdida): Os laços inquebráveis do amor","https://www.amazon.com.br/Indomada-Vol-Perdida-la%C3%A7os-inquebr%C3%A1veis/dp/8576864622/ref=sr_1_8?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-8","20 set 2021","R$41,50","https://www.amazon.com.br/Indomada-Vol-Perdida-la%C3%A7os-inquebr%C3%A1veis/dp/8576864622/ref=sr_1_8?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-8","Carina Rissi","https://images-na.ssl-images-amazon.com/images/I/51o81H3+N4L._AC_SX60_CR,0,0,60,60_.jpg","Acompanhe a trajetória de Marina e Ana Laura, filhas de Ian e Sofia, conforme elas lutam para tomar as rédeas do próprio destino em um mundo ― e um tempo ― de mulheres belas e recatadas. Indomada é o arrebatador volume final da série Perdida, que conquistou corações pelo Brasil inteiro. Duas décadas se passaram e Sofia ainda vive seu “felizes para sempre” no século XIX. Ela e Ian seguem loucamente apaixonados, para o constrangimento das filhas, duas jovens mulheres opiniosas e obstinadas. A vida não poderia ser melhor! Ou assim ela pensava.Um problema na fábrica ameaça enviar Sofia para a prisão, distraindo-a das ações do marido. Ela jamais desconfiou de que Ian fosse capaz de esconder algo tão grave. Se tivesse percebido antes...Marina aprendeu a ocultar seus sentimentos até de si mesma. As exceções são seus amados cavalos, o melhor amigo (que a trocou pela estúpida Europa!) e a irmã caçula. Não há o que ela não faça por Ana Laura, e estava certa de que a dedicação era recíproca. Então por que Ana ficou tão horrorizada ao saber de seu noivado?Como Ana Laura poderia não estar aos pedaços, se o noivo da irmã permeia todas as suas fantasias românticas? Desesperada para manter seus sentimentos em segredo, a saída que ela encontra é se afastar do casal. Sua resolução evapora quando um homem misterioso a procura e alerta que Marina corre perigo. A única capaz de ajudá-la é Ana. Mas quem vai salvar seu coração?Entre segredos do presente e do passado, novas e antigas paixões, traições e lealdade, mãe e filhas farão o impossível umas pelas outras ― e acabarão descobrindo que, algumas vezes, os laços inquebráveis do amor podem, sim, se partir... Carina Rissi também é autora de Procura-se um marido, Mentira perfeita, No mundo da Luna, Quando a noite cai, Amor sob encomenda, Menina veneno e coautora de O livro dos vilões. Juntos, seus livros ultrapassam a marca de 600 mil exemplares vendidos.Suas histórias românticas e envolventes, com protagonistas inesquecíveis e contadas em uma linguagem ágil e bem-humorada, fazem de Carina uma das autoras mais lidas e apreciadas por quem adora um bom romance.","30 avaliações de clientes","https://www.amazon.com.br/Indomada-Vol-Perdida-la%C3%A7os-inquebr%C3%A1veis/dp/8576864622/ref=sr_1_8?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-8#customerReviews","4,1 de 5 estrelas","https://images-na.ssl-images-amazon.com/images/I/815g7bykhWL.jpg","20 setembro 2021"
"Belo mundo, onde você está","https://www.amazon.com.br/Belo-mundo-onde-voc%C3%AA-est%C3%A1/dp/6559213323/ref=sr_1_9?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-9","7 set 2021","R$43,92","https://www.amazon.com.br/Belo-mundo-onde-voc%C3%AA-est%C3%A1/dp/6559213323/ref=sr_1_9?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-9","","https://images-na.ssl-images-amazon.com/images/I/51Zvy+27oVL._AC_SX60_CR,0,0,60,60_.jpg","Uma das vozes mais originais da ficção contemporânea, Sally Rooney escreve sobre amizade, amor e dúvida em seu terceiro romance.
Lançamento mundial.
“O fenômeno literário da década.” ― The Guardian
Alice conhece Felix pelo Tinder. Ela é romancista, ele trabalha num armazém nos subúrbios de uma pequena cidade costeira da Irlanda. No primeiro encontro, enquanto os dois tentam impressionar, a fagulha de algo mais aparece.
Em Dublin, Eileen está tentando superar o término de seu último relacionamento enquanto precisa lidar com a falta da melhor amiga, que se mudou para o litoral. Ela acaba voltando a flertar com Simon, um homem mais velho que acompanha sua vida há tempos.
Alice, Felix, Eileen e Simon ainda são jovens, mas sentem cada vez mais a pressão do passar dos anos. Eles se desejam, se iludem, se amam e se separam. Eles se preocupam com sexo, com amizade, com os rumos do planeta e com o próprio futuro. Seriam eles as últimas testemunhas do ocaso? Eles vão conseguir encontrar uma forma de viver mais uma vez em um belo mundo?
Com uma prosa única e brutal, Sally Rooney constrói mais um romance inigualável sobre o que significa amadurecer sem deixar a si mesmo para trás.","39 avaliações de clientes","https://www.amazon.com.br/Belo-mundo-onde-voc%C3%AA-est%C3%A1/dp/6559213323/ref=sr_1_9?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-9#customerReviews","4,5 de 5 estrelas","https://images-na.ssl-images-amazon.com/images/I/71pUGod3cDL.jpg","7 setembro 2021"
"Gente Ansiosa + MARCADOR + PORTA-MARCADOR","https://www.amazon.com.br/Ansiosa-MARCADOR-PORTA-MARCADOR-Fredrik-Backman/dp/6586752035/ref=sr_1_10?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-10","27 ago 2021","R$54,90","https://www.amazon.com.br/Ansiosa-MARCADOR-PORTA-MARCADOR-Fredrik-Backman/dp/6586752035/ref=sr_1_10?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-10","","https://images-na.ssl-images-amazon.com/images/I/51JQ3FkxsAL._AC_SY60_CR,0,0,60,60_.jpg","Best-seller instantâneo do New York Times, o novo romance do autor de Um homem chamado Ove é um ""romance engraçado e emocionante"". A busca por um apartamento não costuma ser uma situação de vida ou morte, mas uma visita imobiliária toma tais dimensões quando um fracassado assaltante de banco invade o apartamento e faz de reféns um grupo de desconhecidos. O grupo inclui um casal recém-aposentado que procura sem parar, casas para reformar, evitando a verdade dolorosa de que não é possível reformar o casamento. Há um um casal que, prestes a ter o primeiro filho, não concorda sobre nada. Acrescenta-se uma mulher de 87 anos que já viveu demais para temer uma ameaça à mão armada, um corretor imobiliário assustado, mas ainda disposto a vender, e um homem misterioso que se trancou no único banheiro do apartamento, e assim completamos o pior grupo de reféns do mundo. Cada personagem carrega uma vida de reclamações, mágoas, segredos e paixões prestes a transbordar. Ninguém é exatamente o que parece. E todos ― inclusive o ladrão ― estão desesperados por algum tipo de resgate. Conforme as autoridades e a imprensa cercam o prédio, os aliados relutantes revelam verdades surpreendentes e desencadeiam eventos tão inusitados que nem eles próprios são capazes de explicar. O livro prova novamente que Backman é ""mestre em escrever narrativas deliciosas, astutas e emocionantes com foco nos personagens"" (USA Today). Gente ansiosa ""captura a essência confusa de ser humano. (...) É esperto e tocante, e vai te fazer rir e chorar em igual medida” (The Washington Post). Esta ""diversão sem-fim, que garante melhorar seu humor” (Real Simple), é prova de que o poder resistente da amizade, do perdão e da esperança podem nos salvar ― mesmo nos momentos de maior ansiedade.","60 avaliações de clientes","https://www.amazon.com.br/Ansiosa-MARCADOR-PORTA-MARCADOR-Fredrik-Backman/dp/6586752035/ref=sr_1_10?dchild=1&qid=1632489709&refinements=p_n_publication_date%3A5560469011&s=books&sr=1-10#customerReviews","4,7 de 5 estrelas","https://images-na.ssl-images-amazon.com/images/I/71JHQ+5Hy3L.jpg","27 agosto 2021"
